23.0,111.0,117.0,146.0,185.0
11.0,84.0,199.0,106.0,152.0
19.0,106.0,178.0,87.0,13.0
69.0,164.0,166.0,16.0,149.0
111.0,152.0,115.0,5.0,103.0
136.0,66.0,167.0,136.0,114.0
60.0,169.0,17.0,128.0,198.0
132.0,193.0,82.0,21.0,96.0
186.0,53.0,130.0,6.0,187.0
107.0,154.0,179.0,96.0,58.0
128.0,130.0,48.0,105.0,100.0
37.0,128.0,46.0,27.0,141.0
67.0,198.0,91.0,148.0,5.0
38.0,182.0,171.0,76.0,107.0
161.0,61.0,136.0,48.0,73.0
183.0,155.0,176.0,125.0,84.0
73.0,151.0,161.0,156.0,155.0
165.0,180.0,103.0,109.0,11.0
130.0,29.0,125.0,57.0,19.0
26.0,27.0,67.0,141.0,105.0
55.0,98.0,121.0,151.0,34.0
25.0,0.0,95.0,91.0,40.0
9.0,42.0,169.0,170.0,3.0
37.0,110.0,20.0,138.0,165.0
45.0,106.0,111.0,2.0,189.0
162.0,161.0,5.0,37.0,13.0
6.0,81.0,176.0,18.0,86.0
63.0,148.0,163.0,0.0,148.0
95.0,193.0,56.0,165.0,38.0
37.0,142.0,101.0,60.0,74.0
171.0,1.0,176.0,93.0,99.0
38.0,48.0,78.0,165.0,133.0
70.0,63.0,141.0,156.0,135.0
183.0,36.0,176.0,158.0,7.0
147.0,143.0,142.0,52.0,152.0
115.0,112.0,17.0,87.0,96.0
124.0,99.0,60.0,90.0,84.0
146.0,65.0,101.0,187.0,130.0
25.0,69.0,196.0,78.0,180.0
73.0,148.0,155.0,74.0,43.0
64.0,146.0,73.0,149.0,175.0
47.0,54.0,122.0,139.0,168.0
196.0,20.0,146.0,8.0,147.0
195.0,128.0,11.0,137.0,29.0
66.0,174.0,11.0,155.0,13.0
47.0,101.0,199.0,183.0,70.0
113.0,171.0,187.0,167.0,31.0
49.0,90.0,129.0,144.0,159.0
177.0,55.0,26.0,8.0,21.0
77.0,10.0,136.0,35.0,138.0
143.0,33.0,90.0,166.0,81.0
11.0,74.0,182.0,184.0,182.0
196.0,151.0,62.0,150.0,166.0
62.0,89.0,98.0,164.0,15.0
54.0,127.0,24.0,149.0,31.0
155.0,87.0,78.0,144.0,98.0
5.0,136.0,181.0,198.0,156.0
56.0,153.0,40.0,68.0,30.0
61.0,117.0,5.0,13.0,75.0
143.0,36.0,65.0,55.0,41.0
31.0,69.0,104.0,104.0,114.0
99.0,138.0,157.0,149.0,118.0
35.0,38.0,135.0,99.0,80.0
196.0,144.0,135.0,177.0,169.0
107.0,197.0,33.0,31.0,93.0
41.0,41.0,105.0,106.0,2.0
88.0,38.0,173.0,142.0,2.0
193.0,154.0,117.0,141.0,165.0
186.0,182.0,147.0,22.0,131.0
42.0,2.0,191.0,49.0,28.0
78.0,108.0,102.0,51.0,9.0
151.0,187.0,35.0,124.0,22.0
117.0,85.0,18.0,68.0,0.0
124.0,110.0,110.0,156.0,198.0
152.0,134.0,139.0,40.0,11.0
88.0,111.0,197.0,20.0,89.0
38.0,43.0,173.0,198.0,59.0
68.0,83.0,105.0,119.0,158.0
170.0,157.0,79.0,48.0,101.0
187.0,171.0,124.0,134.0,129.0
93.0,58.0,32.0,198.0,186.0
107.0,81.0,147.0,30.0,130.0
166.0,116.0,86.0,36.0,126.0
168.0,69.0,5.0,73.0,155.0
28.0,180.0,73.0,160.0,133.0
171.0,46.0,21.0,178.0,77.0
73.0,96.0,66.0,33.0,83.0
42.0,105.0,44.0,146.0,122.0
157.0,149.0,164.0,22.0,88.0
43.0,44.0,110.0,139.0,182.0
29.0,112.0,151.0,60.0,80.0
15.0,102.0,90.0,135.0,115.0
141.0,29.0,102.0,35.0,158.0
165.0,195.0,164.0,0.0,40.0
108.0,39.0,80.0,28.0,156.0
64.0,58.0,43.0,18.0,147.0
14.0,196.0,17.0,26.0,7.0
66.0,72.0,62.0,91.0,12.0
44.0,91.0,32.0,147.0,119.0
55.0,11.0,63.0,177.0,49.0
